portfolio_turnover,code,swp_flag,lump_min,stp_flag,face_value,sip_available,sip_maximum_gap,returns_date,returns_inception,returns_year_5,returns_year_1,returns_year_3,sip_multiplier,ISIN,investment_objective,volatility,name,fund_house,last_nav_date,last_nav_nav,fund_manager,fund_category,lump_multiplier,redemption_allowed,direct,fund_type,redemption_amount_minimum,category,sip_min,detail_info,redemption_quantity_multiple,nav_date,nav_nav,switch_allowed,lump_min_additional,fund_name,sip_max,expense_ratio,crisil_rating,purchase_amount_multiplier,instant,redemption_quantity_minimum,lump_available,lump_max,redemption_amount_multiple,plan,short_name,short_code,reinvestment,slug,channel_partner_code,tax_period,maturity_type,aum,jan_31_nav,merged_code,merged_name,merged_date
1.06,CDODT-DP,Y,5000.0,Y,10.0,Y,90.0,2020-03-12,8.9607,0.0,9.7715,7.9841,1.0,INF179KA1GA4,To generate regular income and capital appreciation by investing predominantly in corporate debt.,1.38038,HDFC Credit Risk Debt Quarterly Dividend Payout Direct Plan,HDFCMutualFund_MF,2020-03-11,15.2707,Shobhit Mehrotra,Credit Risk Fund,0.01,Y,Y,Debt,500.0,Debt - Bonds,500.0,http://www.hdfcfund.com/downloads/sid,0.001,2020-03-12,15.2023,Y,1000.0,HDFC Mutual Fund,999999999.0,1.06,Moderate,,N,0.001,Y,10000000000000.0,1.0,AS N WHEN,HDFC Credit Risk Debt Quarterly Dividend Payout,hdfc,N,hdfc-credit-risk-debt-quarterly-dividend-payout--CDODT-DP,HCDODT,1095,Open Ended,146970,12.9132,,,
1.06,HDCDNDT-DP,Y,5000.0,Y,10.0,Y,90.0,2020-03-12,8.9607,0.0,9.7715,7.9841,1.0,INF179KA1I61,To generate regular income and capital appreciation by investing predominantly in corporate debt.,1.38038,HDFC Credit Risk Debt Normal Dividend Payout Direct Plan,HDFCMutualFund_MF,2020-03-11,15.2707,Shobhit Mehrotra,Credit Risk Fund,0.01,Y,Y,Debt,500.0,Debt - Bonds,500.0,http://www.hdfcfund.com/downloads/sid,0.001,2020-03-12,15.2023,Y,1000.0,HDFC Mutual Fund,999999999.0,1.06,Moderate,,N,0.001,Y,10000000000000.0,1.0,AS N WHEN,HDFC Credit Risk Debt Normal Dividend Payout,hdfc,N,hdfc-credit-risk-debt-normal-dividend-payout--HDCDNDT-DP,HCDNDT,1095,Open Ended,146970,12.9132,,,
1.06,HDCDNDT-DR,Y,5000.0,Y,10.0,Y,90.0,2020-03-12,8.9607,0.0,9.7715,7.9841,1.0,INF179KA1I61,To generate regular income and capital appreciation by investing predominantly in corporate debt.,1.38038,HDFC Credit Risk Debt Normal Dividend Reinvest Direct Plan,HDFCMutualFund_MF,2020-03-11,15.2707,Shobhit Mehrotra,Credit Risk Fund,0.01,Y,Y,Debt,500.0,Debt - Bonds,500.0,http://www.hdfcfund.com/downloads/sid,0.001,2020-03-12,15.2023,Y,1000.0,HDFC Mutual Fund,999999999.0,1.06,Moderate,,N,0.001,Y,10000000000000.0,1.0,AS N WHEN,HDFC Credit Risk Debt Normal Dividend Reinvest,hdfc,Y,hdfc-credit-risk-debt-normal-dividend-reinvest--HDCDNDT-DR,HCDNDT,1095,Open Ended,146970,12.9132,,,
0.36,HBPGT-GR,Y,5000.0,Y,10.0,Y,90.0,2020-03-12,8.957,8.9194,10.3836,8.4039,1.0,INF179KA1IZ7,To generate income / capital appreciation through investments in debt and money market instruments consisting predominantly of securities issued by entities such as Scheduled Commercial Banks (SCBs); Public Sector undertakings (PSUs); Public Financial Institutions (PFIs); Municipal Corporations and such other bodies. There is no assurance that the investment objective of the Scheme will be realized.,1.40004,HDFC Banking & PSU Debt Growth Direct Plan,HDFCMutualFund_MF,2020-03-11,16.7646,Anil Bamboli,Banking and PSU Fund,0.01,Y,Y,Debt,500.0,Debt - Bonds,500.0,http://www.hdfcfund.com/downloads/sid,0.001,2020-03-12,16.6879,Y,1000.0,HDFC Mutual Fund,999999999.0,0.36,Moderately Low,,N,0.001,Y,10000000000000.0,1.0,GROWTH,HDFC Banking & PSU Debt,hdfc,Z,hdfc-banking-psu-debt-growth--HBPGT-GR,HHBPGT,1095,Open Ended,53220,14.0056,,,
0.8561,HDAFWDT-DP,Y,100000.0,Y,10.0,Y,90.0,2020-03-12,6.3298,6.4315,5.9462,5.8352,1.0,INF179KA1KQ2,To generate income through arbitrage opportunities and debt & money market instruments.,1.89516,HDFC Arbitrage Wholesale Normal Dividend Payout Direct Plan,HDFCMutualFund_MF,2020-03-11,10.751,Krishan Daga,Arbitrage Fund,0.01,Y,Y,Hybrid,500.0,Equity,500.0,http://www.hdfcfund.com/downloads/sid,0.001,2020-03-12,10.766,Y,100000.0,HDFC Mutual Fund,999999999.0,0.35,Moderately Low,,N,0.001,Y,10000000000000.0,1.0,AS N WHEN,HDFC Arbitrage Wholesale Normal Dividend Payout,hdfc,N,hdfc-arbitrage-wholesale-normal-dividend-payout--HDAFWDT-DP,HAFWDT,365,Open Ended,68920,10.782,,,
0.8561,HDAFWMT-DP,Y,100000.0,Y,10.0,Y,90.0,2020-03-12,6.4628,6.4406,5.9962,5.8492,1.0,INF179KA1KS8,To generate income through arbitrage opportunities and debt & money market instruments.,1.88224,HDFC Arbitrage Wholesale Monthly Dividend Payout Direct Plan,HDFCMutualFund_MF,2020-03-11,10.505,Krishan Daga,Arbitrage Fund,0.01,Y,Y,Hybrid,500.0,Equity,500.0,http://www.hdfcfund.com/downloads/sid,0.001,2020-03-12,10.52,Y,100000.0,HDFC Mutual Fund,999999999.0,0.35,Moderately Low,,N,0.001,Y,10000000000000.0,1.0,DIVIDEND MONTHLY,HDFC Arbitrage Wholesale Monthly Dividend Payout,hdfc,N,hdfc-arbitrage-wholesale-monthly-dividend-payout--HDAFWMT-DP,HAFWMT,365,Open Ended,68920,10.521,,,
0.8561,HDAFWGT-GR,Y,100000.0,Y,10.0,Y,90.0,2020-03-12,6.8724,6.7329,6.7543,6.3353,1.0,INF179KA1KT6,To generate income through arbitrage opportunities and debt & money market instruments.,0.989611,HDFC Arbitrage Wholesale Growth Direct Plan,HDFCMutualFund_MF,2020-03-11,14.845,Krishan Daga,Arbitrage Fund,0.01,Y,Y,Hybrid,500.0,Equity,500.0,http://www.hdfcfund.com/downloads/sid,0.001,2020-03-12,14.865,Y,100000.0,HDFC Mutual Fund,999999999.0,0.35,Moderately Low,,N,0.001,Y,10000000000000.0,1.0,GROWTH,HDFC Arbitrage Wholesale,hdfc,Z,hdfc-arbitrage-wholesale-growth--HDAFWGT-GR,HAFWGT,365,Open Ended,68920,13.042,,,
0.49,HD29T-DP,Y,5000.0,Y,10.0,Y,90.0,2020-03-12,5.6698,5.7457,7.2688,5.6984,1.0,INF179KA1NP8,To generate income / capital appreciation through investments in Debt and Money Market Instruments. There is no assurance that the investment objective of the Scheme will be realized.,2.8659,HDFC Medium Term Debt Fortnightly Dividend Payout Direct Plan,HDFCMutualFund_MF,2020-03-11,10.6339,Shobhit Mehrotra,Medium Duration Fund,1.0,Y,Y,Debt,500.0,Debt - Bonds,500.0,http://www.hdfcfund.com/downloads/sid,0.001,2020-03-12,10.5565,Y,1000.0,HDFC Mutual Fund,999999999.0,0.49,Moderate,,N,0.001,Y,10000000000000.0,1.0,DIVIDEND FORTNIGHTLY,HDFC Medium Term Debt Fortnightly Dividend Payout,hdfc,N,hdfc-medium-term-debt-fortnightly-dividend-payout--HD29T-DP,H29T,1095,Open Ended,14160,10.609,,,
1.74,HDIFNT-DP,Y,5000.0,Y,10.0,Y,90.0,2020-03-12,7.5482,7.2988,10.6,6.7517,1.0,INF179KA1Q12,To generate income / capital appreciation through investments in debt and money market instruments. There is no assurance that the investment objective of the Scheme will be realized.,3.26615,HDFC Income Normal Dividend Payout Direct Plan,HDFCMutualFund_MF,2020-03-11,14.7401,Shobhit Mehrotra,Medium to Long Duration Fund,0.01,Y,Y,Debt,500.0,Debt - Bonds,500.0,http://www.hdfcfund.com/downloads/sid,0.001,2020-03-12,14.6373,Y,1000.0,HDFC Mutual Fund,999999999.0,1.74,Moderate,,N,0.001,Y,10000000000000.0,1.0,AS N WHEN,HDFC Income Normal Dividend Payout,hdfc,N,hdfc-income-normal-dividend-payout--HDIFNT-DP,HIFNT,1095,Open Ended,5940,12.492,,,
1.74,HDIFNT-DR,Y,5000.0,Y,10.0,Y,90.0,2020-03-12,7.5482,7.2988,10.6,6.7517,1.0,INF179KA1Q12,To generate income / capital appreciation through investments in debt and money market instruments. There is no assurance that the investment objective of the Scheme will be realized.,3.26615,HDFC Income Normal Dividend Reinvest Direct Plan,HDFCMutualFund_MF,2020-03-11,14.7401,Shobhit Mehrotra,Medium to Long Duration Fund,0.01,Y,Y,Debt,500.0,Debt - Bonds,500.0,http://www.hdfcfund.com/downloads/sid,0.001,2020-03-12,14.6373,Y,1000.0,HDFC Mutual Fund,999999999.0,1.74,Moderate,,N,0.001,Y,10000000000000.0,1.0,AS N WHEN,HDFC Income Normal Dividend Reinvest,hdfc,Y,hdfc-income-normal-dividend-reinvest--HDIFNT-DR,HIFNT,1095,Open Ended,5940,12.492,,,
0.12,HCAPG-GR,Y,5000.0,Y,1000.0,Y,60.0,2020-03-12,0.0,7.2635,6.3833,6.9104,1.0,INF336L01CC8,To provide reasonable returns; commensurate with low risk while providing a high level of liquidity; through a portfolio of money market and debt securities.,0.198337,HSBC Cash Growth Direct Plan,HSBCMUTUALFUND_MF,2020-03-11,1972.73,Kapil Punjabi,Liquid Fund,1.0,Y,Y,Debt,1000.0,Debt - Bonds,500.0,http://www.assetmanagement.hsbc.com/in/mutual-funds/downloads/sid.html,0.001,2020-03-12,1972.59,Y,1000.0,HSBC Mutual Fund,999999999.0,0.12,Low,,N,0.001,Y,10000000000000.0,0.01,GROWTH,HSBC Cash,hsbc,Z,hsbc-cash-growth--HCAPG-GR,OHCAPG,1095,Open Ended,57770,1710.88,,,
0.12,HSHCPWD-DP,Y,5000.0,Y,1000.0,Y,60.0,2020-03-12,0.0,5.25,4.5872,5.0347,1.0,INF336L01CD6,To provide reasonable returns; commensurate with low risk while providing a high level of liquidity; through a portfolio of money market and debt securities.,0.880512,HSBC Cash Weekly Dividend Payout Direct Plan,HSBCMUTUALFUND_MF,2020-03-11,1122.21,Kapil Punjabi,Liquid Fund,1.0,Y,Y,Debt,1000.0,Debt - Bonds,500.0,http://www.assetmanagement.hsbc.com/in/mutual-funds/downloads/sid.html,0.001,2020-03-12,1122.13,Y,1000.0,HSBC Mutual Fund,999999999.0,0.12,Low,,N,0.001,Y,10000000000000.0,0.01,DIVIDEND WEEKLY,HSBC Cash Weekly Dividend Payout,hsbc,N,hsbc-cash-weekly-dividend-payout--HSHCPWD-DP,OHCPWD,1095,Open Ended,57770,1110.69,,,
0.12,HSHCPWD-DR,Y,5000.0,Y,1000.0,Y,60.0,2020-03-12,0.0,5.25,4.5872,5.0347,1.0,INF336L01CD6,To provide reasonable returns; commensurate with low risk while providing a high level of liquidity; through a portfolio of money market and debt securities.,0.880512,HSBC Cash Weekly Dividend Reinvest Direct Plan,HSBCMUTUALFUND_MF,2020-03-11,1122.21,Kapil Punjabi,Liquid Fund,1.0,Y,Y,Debt,1000.0,Debt - Bonds,500.0,http://www.assetmanagement.hsbc.com/in/mutual-funds/downloads/sid.html,0.001,2020-03-12,1122.13,Y,1000.0,HSBC Mutual Fund,999999999.0,0.12,Low,,N,0.001,Y,10000000000000.0,0.01,DIVIDEND WEEKLY,HSBC Cash Weekly Dividend Reinvest,hsbc,Y,hsbc-cash-weekly-dividend-reinvest--HSHCPWD-DR,OHCPWD,1095,Open Ended,57770,1110.69,,,
0.46,HDFD-DP,N,5000.0,N,10.0,N,60.0,2019-01-18,0.0,0.0,0.0,0.0,1.0,INF336L01CF1,To provide long term capital appreciation by allocating funds in equity and equity related instruments. It also has the flexibility to move; entirely if required; into debt instruments in times that the view on equity markets seems negative.,12.4384,HSBC Dynamic Asset Allocation Dividend Payout Direct Plan,HSBCMUTUALFUND_MF,2018-12-27,18.2887,Sanjay Shah; Neelotpal Sahai,Dynamic Asset Allocation or Balanced Advantage,1.0,N,Y,Hybrid,1000.0,Equity,500.0,http://www.assetmanagement.hsbc.com/in/mutual-funds/downloads/sid.html,0.001,2018-12-28,18.4023,N,1000.0,HSBC Mutual Fund,999999999.0,2.15,Moderate,,N,0.001,N,10000000000000.0,0.01,AS N WHEN,HSBC Dynamic Asset Allocation Dividend Payout,hsbc,N,hsbc-dynamic-asset-allocation-dividend-payout--HDFD-DP,HDFD,365,Open Ended,410,19.1201,,,
0.46,HDFD-DR,N,5000.0,N,10.0,N,60.0,2019-01-18,0.0,0.0,0.0,0.0,1.0,INF336L01CF1,To provide long term capital appreciation by allocating funds in equity and equity related instruments. It also has the flexibility to move; entirely if required; into debt instruments in times that the view on equity markets seems negative.,12.4384,HSBC Dynamic Asset Allocation Dividend Reinvest Direct Plan,HSBCMUTUALFUND_MF,2018-12-27,18.2887,Sanjay Shah; Neelotpal Sahai,Dynamic Asset Allocation or Balanced Advantage,1.0,N,Y,Hybrid,1000.0,Equity,500.0,http://www.assetmanagement.hsbc.com/in/mutual-funds/downloads/sid.html,0.001,2018-12-28,18.4023,N,1000.0,HSBC Mutual Fund,999999999.0,2.15,Moderate,,N,0.001,N,10000000000000.0,0.01,AS N WHEN,HSBC Dynamic Asset Allocation Dividend Reinvest,hsbc,Y,hsbc-dynamic-asset-allocation-dividend-reinvest--HDFD-DR,HDFD,365,Open Ended,410,19.1201,,,
0.46,HDFG-GR,N,5000.0,N,10.0,N,60.0,2019-01-18,0.0,0.0,0.0,0.0,1.0,INF336L01CG9,To provide long term capital appreciation by allocating funds in equity and equity related instruments. It also has the flexibility to move; entirely if required; into debt instruments in times that the view on equity markets seems negative.,12.451,HSBC Dynamic Asset Allocation Growth Direct Plan,HSBCMUTUALFUND_MF,2018-12-27,18.2887,Sanjay Shah; Neelotpal Sahai,Dynamic Asset Allocation or Balanced Advantage,1.0,N,Y,Hybrid,1000.0,Equity,500.0,http://www.assetmanagement.hsbc.com/in/mutual-funds/downloads/sid.html,0.001,2018-12-28,18.4023,N,1000.0,HSBC Mutual Fund,999999999.0,2.15,Moderate,,N,0.001,N,10000000000000.0,0.01,GROWTH,HSBC Dynamic Asset Allocation,hsbc,Z,hsbc-dynamic-asset-allocation-growth--HDFG-GR,HDFG,365,Open Ended,410,19.1201,,,
1.66,HSHEMFD-DP,Y,5000.0,Y,10.0,Y,60.0,2020-03-12,0.0,4.8806,-0.5105,5.7375,1.0,INF336L01CI5,To provide long term capital appreciation by investing in India and in the emerging markets; in equity and equity related instruments; share classes and units / securities issued by overseas mutual funds or unit trusts. The fund may also invest a limited proportion in debt and money market instruments.,15.0371,HSBC Global Emerging Markets Dividend Payout Direct Plan,HSBCMUTUALFUND_MF,2020-03-11,13.7992,Priyankar Sarkar,Fund of Funds,1.0,Y,Y,Others,1000.0,Equity,500.0,http://www.assetmanagement.hsbc.com/in/mutual-funds/downloads/sid.html,0.001,2020-03-12,12.8505,Y,1000.0,HSBC Mutual Fund,999999999.0,1.67,Moderately High,,N,0.001,Y,10000000000000.0,0.01,DIVIDEND ANNUAL,HSBC Global Emerging Markets Dividend Payout,hsbc,N,hsbc-global-emerging-markets-dividend-payout--HSHEMFD-DP,OHEMFD,1095,Open Ended,92,15.1952,,,
1.66,HSHEMFD-DR,Y,5000.0,Y,10.0,Y,60.0,2020-03-12,0.0,4.8806,-0.5105,5.7375,1.0,INF336L01CI5,To provide long term capital appreciation by investing in India and in the emerging markets; in equity and equity related instruments; share classes and units / securities issued by overseas mutual funds or unit trusts. The fund may also invest a limited proportion in debt and money market instruments.,15.0371,HSBC Global Emerging Markets Dividend Reinvest Direct Plan,HSBCMUTUALFUND_MF,2020-03-11,13.7992,Priyankar Sarkar,Fund of Funds,1.0,Y,Y,Others,1000.0,Equity,500.0,http://www.assetmanagement.hsbc.com/in/mutual-funds/downloads/sid.html,0.001,2020-03-12,12.8505,Y,1000.0,HSBC Mutual Fund,999999999.0,1.67,Moderately High,,N,0.001,Y,10000000000000.0,0.01,DIVIDEND ANNUAL,HSBC Global Emerging Markets Dividend Reinvest,hsbc,Y,hsbc-global-emerging-markets-dividend-reinvest--HSHEMFD-DR,OHEMFD,1095,Open Ended,92,15.1952,,,
1.66,HSHEMFG-GR,Y,5000.0,Y,10.0,Y,60.0,2020-03-12,0.0,4.8889,-0.4708,5.751,1.0,INF336L01CJ3,To provide long term capital appreciation by investing in India and in the emerging markets; in equity and equity related instruments; share classes and units / securities issued by overseas mutual funds or unit trusts. The fund may also invest a limited proportion in debt and money market instruments.,14.9913,HSBC Global Emerging Markets Growth Direct Plan,HSBCMUTUALFUND_MF,2020-03-11,14.4168,Priyankar Sarkar,Fund of Funds,1.0,Y,Y,Others,1000.0,Equity,500.0,http://www.assetmanagement.hsbc.com/in/mutual-funds/downloads/sid.html,0.001,2020-03-12,13.4256,Y,1000.0,HSBC Mutual Fund,999999999.0,1.67,Moderately High,,N,0.001,Y,10000000000000.0,0.01,GROWTH,HSBC Global Emerging Markets,hsbc,Z,hsbc-global-emerging-markets-growth--HSHEMFG-GR,OHEMFG,1095,Open Ended,92,15.8688,,,
0.8,HEFD-DP,Y,5000.0,Y,10.0,Y,60.0,2020-03-12,0.0,3.4521,-9.7716,2.702,1.0,INF336L01CL9,To generate long term capital growth from an actively managed portfolio of equity and equity related securities.,17.7937,HSBC Large Cap Equity Dividend Payout Direct Plan,HSBCMUTUALFUND_MF,2020-03-11,26.7944,Neelotpal Sahai,Large Cap Fund,1.0,Y,Y,Equity,1000.0,Equity,500.0,http://www.assetmanagement.hsbc.com/in/mutual-funds/downloads/sid.html,0.001,2020-03-12,24.7635,Y,1000.0,HSBC Mutual Fund,999999999.0,1.54,Moderately High,,N,0.001,Y,10000000000000.0,0.01,AS N WHEN,HSBC Large Cap Equity Dividend Payout,hsbc,N,hsbc-large-cap-equity-dividend-payout--HEFD-DP,OHEFD,365,Open Ended,6280,32.7459,,,
,RLLQAD-DR,Y,500.0,Y,1000.0,Y,60.0,2020-03-12,5.9207,5.462,5.5392,5.3724,1.0,INF204K01ZN8,To generate optimal returns consistent with moderate levels of risk and high liquidity. Accordingly; investments shall predominantly be made in Debt and Money Market Instruments.,0.155649,Nippon India Money Market Daily Dividend Reinvest Direct Plan,NipponIndiaMutualFund_MF,2020-03-11,1002.74,Anju Chhajer,Money Market Fund,1.0,Y,Y,Debt,100.0,Debt - Bonds,100.0,https://www.reliancemutual.com/investor-services/downloads/scheme-information-document/,0.001,2020-03-12,1002.04,Y,500.0,Nippon India Mutual Fund,999999999.0,0.14,Low,,N,0.001,Y,10000000000000.0,1.0,DIVIDEND DAILY,Nippon India Money Market Daily Dividend Reinvest,nippon,Y,nippon-india-money-market-daily-dividend-reinvest--RLLQAD-DR,RMFLQAD,1095,Open Ended,58270,1000.51,,,
